"nav.blog","Blog"
"title.blog.overview","Blog Channel Overview"
"link.blog.create","Create new Blog Channel"
"label.blog.th.id","Id"
"label.blog.th.name","Name"
"label.blog.th.description","Description"
"label.blog.th.owner","Owner"
"label.blog.th.createdOn","Creation date"
"title.create.blog","Create new Blog Channel"
"title.edit.blog","Edit Blog Channel"
"legend.blogData","Blog Metadata"
"label.blog.name","Channel Name"
"label.blog.description","Channel Description"
"button.blog.submit","Save"
"error.blog.save.missing","Error, missing fields:"
"success.blog.save","Saved Blog Channel"
"confirm.deleteBlog.1","Delete Blog Channel '"
"confirm.deleteBlog.2","'"
"confirm.deleteBlog.entry.1","Delete Blog Entry '"
"confirm.deleteBlog.entry.2","'"
"success.blog.delete","Blog Channel Deleted"
"label.blog.entries","Blog Entries"
"legend.blog.actions","Blog Actions"
"legend.blog.entries","Blog Entries"
"a.blog.entry.create","Create new entry"
"title.blog.entry.overview","Blog Entries"
"label.blog.entry.subject","Subject"
"label.blog.entry.content","Content"
"label.blog.entry.allowComments","Allow Comments"
"label.blog.entry.pinned","Pinned"
"label.blog.entry.tags","Tags"
"title.blog.entry.edit","Edit Entry"
"title.blog.entry.create","Create new entry"
"error.blog.entry.save.missing","Missing data needed to create blog entry"
"error.blog.entry.save.noMatch","Blog Entry does not mach Blog"
"a.blog.entry.edit","Edit Entry"
"a.blog.entry.delete","Delete Entry"
"error.blog.entryMissmatch","Entry does not belong to Blog"
"success.blog.entry.delete","Blog Entry removed"
"blog.pinned","Pinned"
"blog.commentsAllowed","Comments allowed"